user,text
@_6ess,@M4573RCH out of shadowban @Support
@iamcollinsopara,"I'm a user of premium blue tick service. It's been 4 days since I changed my avatar, but the blue-tick still hasn't reappeared and my impressions are not increasing but decreasing no matter what I post. Help me please."
@Higor_btc,I'm having a problem.
@10kaNFT,"Hello Twitter Support Team, I hope this message finds you well. I am writing to bring to your attention a concerning issue I am currently facing on my Twitter account. It appears that my account has been subjected to a Search Suggestion Ban, which is impacting the visibility and…"
@dimorc_official,"I want to change my username but it doesn't work, it says username could not be updated"
@MasterLeytrx,Meanwhile my Subscriptions application was accepted and I connected my Stripe and it’s STILL not live. Says it’s “pending configuration on app stores”
@hasibiro_maga,Stripeについて質問 日本ではこのような対応になっていて、非常に不便です。 「特定商取引法に基づく表記」をしないと送金停止になります。 Xをしているだけでこのような制度があるのは間違いだと思います。 ↓…
@alejjomartin,
@ShareGamePlay,Can someone tell me when the payouts are? Every week or month?
@SapiensVerbum,What is the expected review timeframe for my subscription application?
@ZeOfertas,Any solution for this error yet? Support form never give a solid answer. @Support
@Hamzamalik753,sir my twitter account name is hamzamalik753 recently i connect to my stripe account and by mistake i put a wrong email this is my real email for stripe please update my this email to my twitter account thanks: Email shoaib-ul-hasan@hotmail.com
@tradeBtcTsla,São Paulooooio
@Chiblinz,Nice
@Enderman,Ratio
@PotusOneGWash,congrats Brasil
@CCTVideos,Awesome
@Curious__Hopper,Whoop Whoop!!
@Champ_io,It has been 7 days since paying for an annual subscription and we still do not have access to premium features or have obtained the blue check… Please rectify this error
@InkWellMosaic,Congratulations!
@chandlerrogers,So cool! I hope this will get more creative people on this platform.
@chris_rdgz1,Please read this:
@bigmich0302,Hey I have been trying to hop on spaces on here and it’s not showing
@L7_Global,"My account can't open twitter space, I can't make appointments, and my friends can't see my twitter space"
@temporadadecaca,"I can't verify my phone number, which is why I can't access the X Premium subscription!"
@SteffanyyPopin,Hello support. I have not seen ads in my posts or profile for almost 2weeks now. What is the problem?
@finsends,How long does it usually take to get the blue check mark approved after buying premium?
@Jouha44xx,
@QuantumWidgets,Ooo La La!
@IFTYPATANPTI,I have 25k following but zero reach . my followers not able to see my tweets Please help or otherwise i may as well delete my account
@IFTYPATANPTI,So twitter both tweets are same i have 30k following and 5 repost and zero reach 200 reach only The other creator who has merely 800 hundred following gets 250 reposts and 15k reach Both tweets are same Please resolve my reach problems and so my followers get my posts tweet
@IFTYPATANPTI,Im trying to buy premium blue tick but unable to through google play store is there any other method i can subscribe or buy blue premium directly. Google play turn down my payment going through today Please advise in my email what other payment method is available
,
@BayernMako,"@Support Please stop terrorizing me!!! You keep kicking me off Twitter. Every day you delete from my profile, followers. That's why I don't pay for you to make fun of me!!!"
@itstommygabriel,"Brasil, você está pronto!??!"
@akogidayo,olha o brasil
@tanaken07,9月4日に認証バッジ頂けるはずですが、頂いておりません。 早急によろしくお願い致します。
@tanaken07,You should receive your certification badge on September 4th. I have not received it. why?
@tanaken07,"I should receive my certification badge on September 4th, but I haven't received it yet. The fee has been paid."
@isoaniekan,My Brazilian friends over to you
@quionie_eth,"Yo, gimme my blue checkmark"
@SaranRMadesh,Great
@ThinkWiselyMatt,Congratulations Brazil
@UnCappingAgate,
@ArrebatoCfc,Parabéns aos amigos do #brasil
@VerminusM,"Hey, I've been having a problem with this feature for two weeks and can't get any help. Each time I open a ticket, you close it without resolving the issue or giving a satisfactory answer. Please advise."
@EmmaRincon,"Hi, for almost a year now I have been asking to open subscriptions in my account, I have opened about 15 tickets with customer service and absolutely no one gives me an answer. What is going on with this?"
@PalabrasSinAire,When are you coming to Central America?
@sincerelywong,Ok so when I’m in SpXces my notifications get rugged?
@xerocooleth,This is massive
@defi__josh,interesting
@cryptos_updates,Why am I not getting ads?
田中伸幸@tanakas.eth,done
@imayankindian,Badhai
@techygaspar,One of the greatest new for my fellow living in Brasil..
@LeoMaranhao22,Até agora nada
@LeoMaranhao22,"Nothing has appeared for me so far, almost 1 month."
@lojasbrenner,X é o caralho
@4thpreacher,i have a complain
@Friend_to_you,Gracias
@m_p_v_,@TradutordoBR
@WendleyVale,@mfiinha
@princemovick,Please my verified badge suddenly went off yesterday and my subscription is still intact
@cosmostvlive,video editing not working please help
Hype G Studio | @gihemmer,"Why did you write in a wrong way in our portuguese? Our language is portuguese in ""Brazil"", our country... differently the others messages ( to all users in ""X"" ) that you used the correct gramatical approach?! What happened if we write ""x"" ?! Why ?!"
Hype G Studio | @gihemmer,"Minha linha telefônica e perfis foram invadidos. Uma sequência de situações criminosas e intermináveis. Algoritmos alterados, ghosting, phising, cyberbullying, a invasão se faz notar nas timelines de quem usa, observa e percebe. É uma luta sem fim, onde quem ganha têm mais."
@JennyS1989,I should be being paid to put up with such a broken app and a so-called “Support” team that doesn’t fix anything!!
@ProFoodh2911123,"Hey! Theres an error no, with that we cant delete Re-published post. Chk my profile for a new album ++"
@Bloading,estou recebendo toneladas de menções de spam e já notifiquei vocês mais de uma vez. Quando vão resolver isso?
@CFC_Mizz,@Support i need help in deleting the stripe account connected to my account
@JinKissLetsgoJP,@Support I have an account @jinkissletsgo that was wrongfully suspended as I wrote a wrong birthday and I submit the ID card already. I wait for a few days and it's still not recover. Please help - Case# 0341193420
@pseudoanomaly,. @Support
@marioschz117,X
@0x_WUDAO,Why is the verification over 7 days still under review?
@alcovesmb,I applied for community notes. When do I get it? I've been a model citizen on X with paid membership and honest reviews and comments. Thank you so much!
@Parallelmindz,"if somehow you can bypass the self censorship, shadowbans, deboosting etc and if you pay for subscription so X can pay your money to larger accounts. i haven't seen any benefit to go X blue."
@OnePaul87,Not yet! I already issued an review into my account but no one ever replies.
@Yamapama,"When Bonaire, Dutch Caribbean?"
@joby14212,I am shadowbanned. Support never informed me of a problem - just totally limited my views. I went from thousands to 2-4 views and zero comments. Not fair. I was a blue checkmark and dropped it as there was zero point. This has gone on for weeks. Why? Please fix!!!
@pseudoanomaly,Hello support do you really exist? If so why are all of my emails and tags ignored?
@ManiIaFinest,"@Support my friend account got suspended without any valid reason he doesnt do spamming or follow other people, how can i contact customer service?"
@chiebukauzoigwe,Why can’t I see the option to end sensitive content?
@thesportinfo,But we ain't getting engagement and impression
@jao_editor,"olá, vcs podem me ajudar a recuperar minha conta? uso ela no trabalho e gostaria muito de tela novamente."
@evergrande24,por favor buenas noches X Twitter no puedo registrar mi numero telefónico..para mi verificación..su apoyo gracias
@thiagoscrolls,Vou criar uma página de flamengo fds
@dinahkiwi,"so when are you gonna confirm the users that paid the blue tick? If it takes THIS LONG then i don’t think it’s worth buying at all. Got my one month subscription and i will barely enjoy it. Thanks tho, never buying it again"
@hareshsobhani,"Being a Pakistani how to get ad revenue, because stripe is not working in Pakistan"
@DaniloBastos,
@notkopsh,what? no ablo espaneol
@mumcharno123,That would be great
@r3alitydrift3r,YES!
@os_cas29177,Why can't I see X in computer?
@UTDchicco,"I have a problem adding my phone number to my Twitter account, whenever I try, it brings some error yet MTN is the biggest ISP in our country , please help"
@ura_trading,ooooooooooo
@artjuliannah,Ehhh Brasil Muito bom
@axilaxy,When indonesia?
@a_filloon69353,Beautiful...
@Zjazdgeekgal89,Hmm
@PivotalCR7,"I am trying to add my phone number to my Twitter account, but I am getting the error message ""You have hit the limit for SMS codes. Try again in 24 hours."" Can anyone help me understand what might be causing this error and how I can resolve it"
@MAD_team_off,@BasedReplyBot
